マスターID,マスター名,ソース側で見つかった名前のリスト,ファイル名,判定
8,近海の主,近海の主（ロングリングロングランド） / 近海の主（ゴア王国）,(ALL),許容（表記ゆれ）
101,海ネコ,海ネコ / 子海ネコ,(ALL),許容（表記ゆれ）
121,Mr.7,Mr.7（元） / Mr.7,alabasta_wt100_faces.json,許容（表記ゆれ）
121,Mr.7,Mr.7（元） / Mr.7,(ALL),許容（表記ゆれ）
161,カマキリ,カマキリ / カマキリガール,(ALL),許容（表記ゆれ）
262,マクロ,マクロ大佐 / マクロ,hyoushi_wt100_faces.json,許容（表記ゆれ）
262,マクロ,マクロ / マクロ大佐,(ALL),許容（表記ゆれ）
395,スプラッシュ,ラッシュ / スプラッシュ,(ALL),許容（表記ゆれ）
438,スコッチ,アイアンボーイ・スコッチ / スコッチ,(ALL),許容（表記ゆれ）
493,ハック,ハック（オハラの学者） / ハック（魚人）,(ALL),許容（表記ゆれ）
599,ステューシー,バッキンガム・ステューシー / ステューシー,(ALL),許容（表記ゆれ）
607,シャーロット・コンポート,シャーロット・コンポート / シャーロット・コンポ,whole cake_wt100_faces.json,許容（表記ゆれ）
607,シャーロット・コンポート,シャーロット・コンポート / シャーロット・コンポ,(ALL),許容（表記ゆれ）
618,カクさん,カクカクさん / カクさん,(ALL),許容（表記ゆれ）
664,港友,港友 / みなともさん,(ALL),要分離（別キャラ）
684,綱ゴロー,綱ゴロー / ゴロー,(ALL),許容（表記ゆれ）
922,コロン,コロン / コロンブス,(ALL),許容（表記ゆれ）
955,雪だるさん,雪だるさん / ハイパー雪だるさん,alabasta_wt100_faces.json,許容（表記ゆれ）
1358,シャーロット・マッシュ,シャーロット・マッシュ / マッシュ,(ALL),許容（表記ゆれ）
1555,バブルガム,バブルガム / バブル,(ALL),許容（表記ゆれ）
1579,エスタ,エスタ / ウエスタンバード,(ALL),許容（表記ゆれ）
